entry_index,page,number,source_headword,pronunciation,variant,audio
980,40,5,knife,knife,1,p40_05_knife.mp3
981,40,6,speed,speed,1,p40_06_speed.mp3
982,40,7,private,private,1,p40_07_private.mp3
983,40,8,permanent,permanent,1,p40_08_permanent.mp3
984,40,9,global,global,1,p40_09_global.mp3
985,40,10,demand,demand,1,p40_10_demand.mp3
986,40,11,peak,peak,1,p40_11_peak.mp3
987,40,12,regulation,regulation,1,p40_12_regulation.mp3
988,40,13,project,project,1,p40_13_project.mp3
989,40,14,stadium,stadium,1,p40_14_stadium.mp3
990,40,15,rule,rule,1,p40_15_rule.mp3
991,40,16,women,women,1,p40_16_women.mp3
992,40,17,presentation,presentation,1,p40_17_presentation.mp3
993,40,18,wombat,wombat,1,p40_18_wombat.mp3
994,40,19,route,route,1,p40_19_route.mp3
995,40,20,aunt,aunt,1,p40_20_aunt.mp3
996,40,21,roof,roof,1,p40_21_roof.mp3
997,40,22,cognitive,cognitive,1,p40_22_cognitive.mp3
998,40,23,average,average,1,p40_23_average.mp3
999,40,24,dead,dead,1,p40_24_dead.mp3
1000,40,25,reputation,reputation,1,p40_25_reputation.mp3
1001,41,1,Spanish,Spanish,1,p41_01_spanish.mp3
1002,41,2,ferry,ferry,1,p41_02_ferry.mp3
1003,41,3,adaptation,adaptation,1,p41_03_adaptation.mp3
1004,41,4,lift,lift,1,p41_04_lift.mp3
1005,41,5,electronic,electronic,1,p41_05_electronic.mp3
1006,41,6,app,app,1,p41_06_app.mp3
1007,41,7,boat,boat,1,p41_07_boat.mp3
1008,41,8,whale,whale,1,p41_08_whale.mp3
1009,41,9,modern,modern,1,p41_09_modern.mp3
1010,41,10,pregnant,pregnant,1,p41_10_pregnant.mp3
1011,41,11,vegan,vegan,1,p41_11_vegan.mp3
1012,41,12,exchange,exchange,1,p41_12_exchange.mp3
1013,41,13,poison,poison,1,p41_13_poison.mp3
1014,41,14,apartment,apartment,1,p41_14_apartment.mp3
1015,41,15,desk,desk,1,p41_15_desk.mp3
1016,41,16,tap,tap,1,p41_16_tap.mp3
1017,41,17,walk,walk,1,p41_17_walk.mp3
1018,41,18,building,building,1,p41_18_building.mp3
1019,41,19,fall,fall,1,p41_19_fall.mp3
1020,41,20,chef,chef,1,p41_20_chef.mp3
1021,41,21,drone,drone,1,p41_21_drone.mp3
1022,41,22,slow,slow,1,p41_22_slow.mp3
1023,41,23,towel,towel,1,p41_23_towel.mp3
1024,41,24,video,video,1,p41_24_video.mp3
1025,41,25,certificate,certificate,1,p41_25_certificate.mp3
1026,42,1,motorbike,motorbike,1,p42_01_motorbike.mp3
1027,42,2,dolphins,dolphins,1,p42_02_dolphins.mp3
1028,42,3,routine,routine,1,p42_03_routine.mp3
1029,42,4,strong,strong,1,p42_04_strong.mp3
1030,42,5,awake,awake,1,p42_05_awake.mp3
1031,42,6,January,January,1,p42_06_january.mp3
1032,42,7,India,India,1,p42_07_india.mp3
1033,42,8,medication,medication,1,p42_08_medication.mp3
1034,42,9,natural,natural,1,p42_09_natural.mp3
1035,42,10,hammer,hammer,1,p42_10_hammer.mp3
1036,42,11,volume,volume,1,p42_11_volume.mp3
1037,42,12,pillows,pillows,1,p42_12_pillows.mp3
1038,42,13,blanket,blanket,1,p42_13_blanket.mp3
1039,42,14,recycle,recycle,1,p42_14_recycle.mp3
1040,42,15,distraction,distraction,1,p42_15_distraction.mp3
1041,42,16,Italian,Italian,1,p42_16_italian.mp3
1042,42,17,ecosystem,ecosystem,1,p42_17_ecosystem.mp3
1043,42,18,virus,virus,1,p42_18_virus.mp3
1044,42,19,pizza,pizza,1,p42_19_pizza.mp3
1045,42,20,fungus,fungus,1,p42_20_fungus.mp3
1046,42,21,equator,equator,1,p42_21_equator.mp3
1047,42,22,calming,calming,1,p42_22_calming.mp3
1048,42,23,mirror,mirror,1,p42_23_mirror.mp3
1049,42,24,trials,trials,1,p42_24_trials.mp3
1050,42,25,diving,diving,1,p42_25_diving.mp3
1051,42,26,drum,drum,1,p42_26_drum.mp3
1052,42,27,voucher,voucher,1,p42_27_voucher.mp3
